age,count,death_probability,life_expectancy,death_predicted,expected_death_age,lost_years
1,1365,0.000387,78.19,1,79,106651.16
2,895,0.000236,77.225,1,79,69039.15
3,726,0.00017999999999999998,76.245,1,79,55277.625
4,552,0.0001455,75.255,1,79,41465.505
5,517,0.000132,74.265,1,79,38320.74
6,451,0.000123,73.275,1,79,32973.75
7,443,0.000115,72.285,1,79,31949.969999999998
8,408,0.0001075,71.295,1,79,29017.065000000002
9,401,9.95e-05,70.30000000000001,1,79,28120.000000000004
10,458,9.65e-05,69.305,1,79,31672.385000000002
11,528,0.00010400000000000001,68.315,1,79,36002.005
12,618,0.0001305,67.32,1,79,41536.439999999995
13,802,0.0001795,66.33,2,79,53064.0
14,1018,0.00024700000000000004,65.34,3,79,66320.1
15,1337,0.0003205,64.355,4,79,85785.21500000001
16,1803,0.000396,63.379999999999995,5,79,113957.23999999999
17,2236,0.000477,62.400000000000006,7,79,139089.6
18,3168,0.0005625,61.43,10,79,193995.94
19,3790,0.0006495,60.465,14,79,228315.84000000003
20,4010,0.000742,59.5,19,79,237464.5
21,4601,0.000833,58.545,26,79,267843.375
22,4715,0.0009090000000000001,57.595,32,79,269717.385
23,5064,0.0009645,56.645,39,79,284641.125
24,5290,0.0010055,55.7,46,79,292090.8
25,5743,0.0010414999999999999,54.754999999999995,53,79,311555.94999999995
26,6008,0.001082,53.81,62,79,319954.26
27,6562,0.001127,52.86,72,79,343061.4
28,7006,0.001181,51.925,83,79,359476.77499999997
29,7560,0.0012415,50.985,97,79,380501.055
30,7949,0.0013044999999999999,50.045,112,80,392202.66500000004
31,7975,0.001366,49.11,128,80,385366.17
32,8098,0.0014295,48.17,145,80,383096.01
33,8389,0.001492,47.24,164,80,388549.0
34,8584,0.0015565,46.31,184,80,389004.0
35,8836,0.001627,45.38,206,80,391629.4
36,9095,0.0017025,44.45,231,80,394004.80000000005
37,9818,0.001777,43.525000000000006,258,80,416099.00000000006
38,9907,0.0018475000000000002,42.599999999999994,286,80,409854.5999999999
39,10660,0.0019195,41.68,317,80,431096.24
40,11001,0.002002,40.754999999999995,352,80,433999.99499999994
41,11166,0.0020995000000000002,39.835,392,80,429182.29000000004
42,11038,0.002212,38.92,437,80,412590.92000000004
43,11595,0.0023425,38.0,489,81,422028.0
44,11869,0.0024925,37.09,548,81,419895.89
45,12802,0.0026635,36.175,619,81,440720.02499999997
46,13487,0.002859,35.275000000000006,701,81,451026.1500000001
47,14837,0.0030815,34.370000000000005,799,81,482486.06000000006
48,16762,0.003335,33.475,918,81,530377.9
49,18898,0.003621,32.585,1061,81,581218.645
50,20255,0.003934,31.695,1229,81,603029.07
51,21081,0.0042795,30.82,1421,81,605921.2
52,22486,0.0046685,29.945,1649,81,623963.965
53,24316,0.005106,29.08,1919,82,651304.76
54,27050,0.0055885,28.225,2241,82,700234.025
55,30644,0.0061085,27.38,2623,82,767214.98
56,33957,0.006657999999999999,26.545,3067,82,819975.05
57,36679,0.007235999999999999,25.72,3577,82,851383.44
58,39382,0.0078385,24.895,4155,82,876976.165
59,43251,0.0084685,24.09,4820,83,925802.79
60,46448,0.0091635,23.285,5597,83,951215.535
61,49017,0.009903,22.490000000000002,6479,83,956679.6200000001
62,51461,0.010627,21.71,7431,83,955891.3
63,54968,0.011316,20.93,8450,83,973621.74
64,56174,0.01201,20.16,9542,84,940101.12
65,58178,0.0127985,19.395,10791,84,919070.865
66,60054,0.0137135,18.64,12238,84,891290.24
67,61293,0.014719,17.885,13857,84,848392.8600000001
68,63038,0.015824,17.14,15675,85,811801.8200000001
69,64522,0.017065,16.405,17738,85,767491.52
70,67425,0.018512999999999998,15.68,20163,85,741068.16
71,71188,0.0201895,14.96,23019,85,720608.24
72,76237,0.0220705,14.254999999999999,26339,86,711295.99
73,82694,0.0241715,13.555,30208,86,711447.73
74,71260,0.02654,12.879999999999999,34258,86,476585.75999999995
75,72343,0.0293285,12.21,38974,87,407435.49000000005
76,78197,0.0325245,11.56,44497,87,389572.0
77,85411,0.035998,10.93,50721,87,379161.7
78,82148,0.039734000000000005,10.315,57234,88,256987.90999999997
79,80594,0.0438635,9.715,64207,88,159199.705
80,81737,0.0486535,9.129999999999999,72071,89,88250.57999999999
81,83431,0.0542035,8.57,80909,89,21613.54
82,85712,0.060424000000000005,8.025,90484,90,0.0
83,85716,0.067356,7.5,100543,90,0.0
84,87684,0.07511799999999999,7.0,111164,91,0.0
85,89738,0.08385000000000001,6.525,122289,91,0.0
86,86480,0.09367400000000001,6.07,133263,92,0.0
87,87499,0.104679,5.64,144128,92,0.0
88,88066,0.11691850000000001,5.234999999999999,154425,93,0.0
89,87727,0.130413,4.855,163550,93,0.0
90,85246,0.1451655,4.5,170684,94,0.0
91,79391,0.1611645,4.175,174783,95,0.0
92,74491,0.178389,3.87,175572,95,0.0
93,67982,0.1968065,3.5949999999999998,172524,96,0.0
94,58730,0.2163775,3.3449999999999998,165058,97,0.0
95,50715,0.2359515,3.13,153010,98,0.0
96,42151,0.255178,2.935,137189,98,0.0
97,33377,0.2736815,2.76,118726,99,0.0
98,25853,0.2910725,2.605,99238,100,0.0
99,19189,0.306959,2.465,80082,101,0.0
100,13497,0.32372,2.325,62900,102,0.0
101,8500,0.34140349999999997,2.2,47764,103,0.0
102,5802,0.36006150000000003,2.075,35266,104,0.0
103,3646,0.379747,1.95,25186,104,0.0
104,2152,0.4005185,1.835,17338,105,0.0
105,1388,0.422435,1.73,11549,106,0.0
106,756,0.445561,1.62,7373,107,0.0
107,446,0.4699635,1.52,4521,108,0.0
108,214,0.495714,1.425,2634,109,0.0
109,117,0.5228865,1.335,1463,110,0.0
110,63,0.551561,1.245,771,111,0.0
111,34,0.5818215,1.16,385,112,0.0
112,13,0.6137554999999999,1.08,178,113,0.0
113,7,0.6474565,1.005,77,114,0.0
114,2,0.6830240000000001,0.9299999999999999,30,114,0.0
117,1,0.7205615,0.865,11,115,0.0
119,1,0.759422,0.8,4,116,0.0
